year,month,district,latitude,longitude,population,area_sq_km,population_density,police_stations,literacy_rate,unemployment_rate,avg_temperature_C,avg_rainfall_mm,is_festive_month,is_summer,is_monsoon,quarter,crime_murder,crime_rape,crime_robbery,crime_mv_theft,crime_burglary,crime_snatching,crime_hurt,crime_house_theft,crime_other_theft,crime_dacoity,crime_kidnapping,total_crimes,crime_rate_per_lakh,risk_level,risk_score,crime_density,prev_month_crimes,rolling_3m_avg
2016,1,Central,28.6469,77.2164,910000,30,30333.3,9,84.2,5.1,14.3,19.4,0,0,0,1,2,9,21,178,58,39,7,64,306,0,26,710,78.02,MEDIUM,2,23.666666666666668,,710.0
2016,2,Central,28.6469,77.2164,910000,30,30333.3,9,84.2,5.1,17.8,18.5,0,0,0,1,2,9,21,148,52,35,5,57,311,0,27,667,73.3,MEDIUM,2,22.23333333333333,710.0,688.5
2016,3,Central,28.6469,77.2164,910000,30,30333.3,9,84.2,5.1,24.1,15.9,1,0,0,1,2,9,20,155,66,40,6,61,341,0,26,726,79.78,MEDIUM,2,24.2,667.0,701.0
2016,4,Central,28.6469,77.2164,910000,30,30333.3,9,84.2,5.1,30.7,7.6,1,1,0,2,2,9,21,162,57,46,8,59,365,0,29,758,83.3,MEDIUM,2,25.266666666666666,726.0,717.0
2016,5,Central,28.6469,77.2164,910000,30,30333.3,9,84.2,5.1,35.9,18.0,0,1,0,2,2,10,23,176,64,46,7,78,290,0,34,730,80.22,MEDIUM,2,24.33333333333333,758.0,738.0
2016,6,Central,28.6469,77.2164,910000,30,30333.3,9,84.2,5.1,38.3,58.1,0,1,0,2,3,11,21,172,64,39,6,62,335,0,31,744,81.76,MEDIUM,2,24.8,730.0,744.0
2016,7,Central,28.6469,77.2164,910000,30,30333.3,9,84.2,5.1,35.6,213.4,0,1,1,3,2,8,21,161,58,41,7,68,326,0,32,724,79.56,MEDIUM,2,24.133333333333333,744.0,732.7
2016,8,Central,28.6469,77.2164,910000,30,30333.3,9,84.2,5.1,34.1,193.3,0,0,1,3,2,8,23,171,57,31,7,54,276,0,32,661,72.64,MEDIUM,2,22.03333333333333,724.0,709.7
2016,9,Central,28.6469,77.2164,910000,30,30333.3,9,84.2,5.1,31.8,117.5,0,0,1,3,2,9,19,161,58,32,6,58,280,0,30,655,71.98,MEDIUM,2,21.83333333333333,661.0,680.0
2016,10,Central,28.6469,77.2164,910000,30,30333.3,9,84.2,5.1,27.0,18.7,1,0,0,4,2,8,17,141,65,38,7,58,327,0,32,695,76.37,MEDIUM,2,23.166666666666668,655.0,670.3
2016,11,Central,28.6469,77.2164,910000,30,30333.3,9,84.2,5.1,20.8,4.5,1,0,0,4,2,9,20,154,60,38,6,67,292,0,30,678,74.51,MEDIUM,2,22.6,695.0,676.0
2016,12,Central,28.6469,77.2164,910000,30,30333.3,9,84.2,5.1,15.0,9.3,0,0,0,4,2,7,19,158,55,39,6,60,305,0,28,679,74.62,MEDIUM,2,22.633333333333333,678.0,684.0
2017,1,Central,28.6469,77.2164,910000,30,30333.3,9,84.2,5.1,14.3,19.4,0,0,0,1,2,8,12,180,43,35,6,46,444,0,27,803,88.24,MEDIUM,2,26.766666666666666,679.0,720.0
2017,2,Central,28.6469,77.2164,910000,30,30333.3,9,84.2,5.1,17.8,18.5,0,0,0,1,2,7,11,158,33,32,6,42,453,0,23,767,84.29,MEDIUM,2,25.566666666666663,803.0,749.7
2017,3,Central,28.6469,77.2164,910000,30,30333.3,9,84.2,5.1,24.1,15.9,1,0,0,1,2,10,14,181,44,36,6,43,463,0,27,826,90.77,MEDIUM,2,27.53333333333333,767.0,798.7
2017,4,Central,28.6469,77.2164,910000,30,30333.3,9,84.2,5.1,30.7,7.6,1,1,0,2,2,9,16,165,47,35,7,56,482,0,29,848,93.19,MEDIUM,2,28.266666666666666,826.0,813.7
2017,5,Central,28.6469,77.2164,910000,30,30333.3,9,84.2,5.1,35.9,18.0,0,1,0,2,3,10,14,184,43,37,6,45,542,0,27,911,100.11,HIGH,3,30.366666666666667,848.0,861.7
2017,6,Central,28.6469,77.2164,910000,30,30333.3,9,84.2,5.1,38.3,58.1,0,1,0,2,2,10,14,202,43,38,6,56,511,0,30,912,100.22,HIGH,3,30.4,911.0,890.3
2017,7,Central,28.6469,77.2164,910000,30,30333.3,9,84.2,5.1,35.6,213.4,0,1,1,3,2,9,12,209,46,37,7,44,524,0,27,917,100.77,HIGH,3,30.566666666666663,912.0,913.3
2017,8,Central,28.6469,77.2164,910000,30,30333.3,9,84.2,5.1,34.1,193.3,0,0,1,3,2,9,12,174,39,36,5,44,445,0,26,792,87.03,MEDIUM,2,26.4,917.0,873.7
2017,9,Central,28.6469,77.2164,910000,30,30333.3,9,84.2,5.1,31.8,117.5,0,0,1,3,2,8,13,150,43,36,6,44,520,0,22,844,92.75,MEDIUM,2,28.133333333333333,792.0,851.0
2017,10,Central,28.6469,77.2164,910000,30,30333.3,9,84.2,5.1,27.0,18.7,1,0,0,4,2,9,13,164,40,34,6,45,433,0,23,769,84.51,MEDIUM,2,25.633333333333333,844.0,801.7
2017,11,Central,28.6469,77.2164,910000,30,30333.3,9,84.2,5.1,20.8,4.5,1,0,0,4,2,8,13,178,42,34,5,45,463,0,24,814,89.45,MEDIUM,2,27.133333333333333,769.0,809.0
